2012 :  Air Conflicts: Pacific Carriers 
2012 :  Condemned Heroes 
2012 :  Banzai Attacks Mission Asia 
2012 :  Battle of Asia in World War II: Destination Tokyo 
2012 :  Soldiers of Empires 2 
2013 :  Rising Storm expansion 
2013 :  Heroes & Generals 
2013 :  War Thunder 
2013 :  War Thunder 
2013 :  World of Warplanes 
2013 :  War Thunder 
2013 :  IL-2 Sturmovik: Battle of Stalingrad 
2013 :  War Thunder 
2013 :  Company of Heroes 2 
2013 :  Panzer General Online 
2014 :  Wolfenstein: The New Order 
2014 :  Enemy Front 
2014 :  Sniper Elite 3 
2014 :  WW2: Wings of Duty 
2014 :  Men of War: Assault Squad 2 
2014 :  Assault Squad 2 
2014 :  Banzai Attacks Mission Pacific 
2015 :  Wolfenstein: The Old Blood 
2015 :  World of Warships 
2015 :  Blitzkrieg 3 
2015 :  Dominations 
2016 :  Alekhine's Gun 
2016 :  World War II Heroes: Road to Burma 
2016 :  Hearts of Iron IV 
2017 :  Call of Duty: WWII 
2017 :  Wolfenstein II: The New Colossus 
2017 :  Days of War 
2017 :  Sniper Elite 4 
2017 :  Raid: World War II 
2017 :  Day of Infamy 
2017 :  Flying Tigers: Shadows Over China 
2017 :  Steel Division: Normandy 44 
2017 :  Making History: The Second World War 
2018 :  Battlefield V 
2018 :  Battalion 1944 
2018 :  BattleRush 
2018 :  Fog of War 
2018 :  Post Scriptum 
